"","Date","Moisture 8.0","Moisture 16.0","Moisture 26.0","Temperature 8.0","Temperature 16.0","Ecpw 8.0","Ecpw 16.0","Ecpw 26.0"
"1","05/06/24 14:30",36.9012836372977,39.2258056462913,36.9177730837792,81.716,76.1,NA,NA,NA
"2","05/06/24 15:00",36.0842574806531,38.5431316836441,36.3042374971413,76.1,70.2499999999999,10.7913648142565,9.65657440635839,3.34259068202971
"3","05/06/24 15:30",36.4843394027199,38.8922113807035,36.240395167512,75.6499999999999,69.566,3.62968468746495,2.57542268665209,2.02299226147763
"4","05/06/24 16:00",36.5028643560755,38.9987997205952,36.1929114604594,75.8659999999999,69.35,3.57579979930728,2.54075582409553,1.98811597430294
"5","05/06/24 16:30",36.6071849261597,39.1010769969953,36.2474118016177,75.8659999999999,69.1159999999999,3.58009830979288,2.53454623282625,1.97984584096669
"6","05/06/24 17:00",36.5569975720631,39.0679131201494,36.1858565276831,76.1,69.1159999999999,3.58576772205787,2.52941022750073,1.97280978768314
"7","05/06/24 17:30",36.6766467402019,39.1367537967338,36.1904783879973,76.55,68.8999999999999,3.58588567497051,2.52463722113755,1.97133098540243
"8","05/06/24 18:00",36.6071849261597,39.1728938083423,36.2474118016177,76.7659999999999,68.8999999999999,3.58774873211929,2.52017606231828,1.96970450462045
"9","05/06/24 18:30",36.6317735186312,39.1250785991861,36.1312294646904,77.216,68.8999999999999,3.59362576055008,2.52059351520879,1.9692908070508
"10","05/06/24 19:00",36.6951129451776,39.1250785991861,36.1858565276831,77.45,69.1159999999999,3.59920298792397,2.52120967613956,1.96940229580012
"11","05/06/24 19:30",36.689553139841,39.2793414688245,36.2426579826508,77.666,69.1159999999999,3.6017860113549,2.52046466610851,1.96806793809963
"12","05/06/24 20:00",36.7400107631021,39.208045571934,36.1835509882568,77.8999999999999,69.1159999999999,3.6039269805502,2.52192178230467,1.96733950929521
"13","05/06/24 20:30",36.8175677328456,39.2793414688245,36.188139606744,78.1159999999999,69.1159999999999,3.60872246790218,2.52244001524878,1.96629362427068
"14","05/06/24 21:00",36.7976706161804,39.2624836253858,36.2381099831621,78.1159999999999,69.35,3.61443808330694,2.52381394409215,1.96498030484813
"15","05/06/24 21:30",36.7902185943607,39.3705655126704,36.1904783879973,78.35,69.35,3.6165293130535,2.52486516769697,1.96514696960702
"16","05/06/24 22:00",36.8515761761272,39.3280808878595,36.0885193728588,78.35,69.566,3.61734499834239,2.52402857073568,1.96592475363151
"17","05/06/24 22:30",36.8609543890149,39.3965143522826,36.1265548034418,78.35,69.566,3.61838821251331,2.52513363419662,1.96540030557385
"18","05/06/24 23:00",36.8440381154309,39.3108141875005,36.0860924155971,78.1159999999999,69.8,3.61970550917611,2.52429796040337,1.96532883791242
"19","05/06/24 23:30",36.8478388558152,39.3166593988098,36.0337954140672,77.8999999999999,69.8,3.62494159682863,2.5260954489642,1.96497680719257
"20","06/06/24 00:00",36.8571269733388,39.3879609338946,36.0240540505395,77.8999999999999,69.8,3.62997947126761,2.52725055295619,1.96411959396762
"21","06/06/24 00:30",36.9015993102935,39.4730825409146,36.0788377190332,77.666,70.0159999999999,3.6304756520606,2.52470369149276,1.96323639623992
"22","06/06/24 01:00",36.9256703055832,39.3993118157435,36.0240540505395,77.45,70.0159999999999,3.63152918188836,2.52371335539842,1.96354347249485
"23","06/06/24 01:30",36.8645831975461,39.4676097424568,36.021709754002,77.216,70.0159999999999,3.63967703584319,2.52285548613524,1.9633439858263
"24","06/06/24 02:00",36.9777948348001,39.4448213248653,36.0860924155971,76.9999999999999,70.2499999999999,3.64250830720475,2.52274022402133,1.9625048901417
"25","06/06/24 02:30",36.8571269733388,39.4620170860506,36.0288776541809,76.55,70.2499999999999,3.64242695028722,2.52239042219461,1.96284337789141
"26","06/06/24 03:00",36.9777948348001,39.4591636995608,36.0263781073299,76.1,70.466,3.63791044642399,2.52221014772302,1.96234261999553
"27","06/06/24 03:30",36.9905069606805,39.5983518352185,36.074167435329,75.8659999999999,70.466,3.63345868005648,2.52077471348233,1.96161166191745
"28","06/06/24 04:00",36.9256703055832,39.4730825409146,36.0240540505394,75.416,70.466,3.63157702432387,2.52123179782029,1.96192364682902
"29","06/06/24 04:30",36.9741749463301,39.5273967094087,36.0669876582663,75.2,70.466,3.6262843401228,2.51984659542483,1.96124988848366
"30","06/06/24 05:00",36.8681503107723,39.4591636995608,35.9814459638013,74.966,70.466,3.62824924212607,2.52023585162029,1.9620280954886
"31","06/06/24 05:30",36.9310885764196,39.4786105154568,36.0240540505395,74.7499999999999,70.466,3.62479305095013,2.51965905500977,1.96115681047005
"32","06/06/24 06:00",36.9328745393998,39.5385303547096,36.0240540505395,74.3,70.466,3.6219364345787,2.5190208722289,1.96100283726525
"33","06/06/24 06:30",36.9868397142652,39.5412832412807,36.0788377190332,74.066,70.466,3.61694080926621,2.51897793600642,1.96004188903308
"34","06/06/24 07:00",36.9221224411357,39.5870844997828,36.0811670882857,73.85,70.466,3.61366104102429,2.51820828700139,1.95933599130246
"35","06/06/24 07:30",36.9203257036967,39.5467058074081,36.0811670882857,73.6159999999999,70.466,3.60850562459016,2.51844079623956,1.95855398374485
"36","06/06/24 08:00",36.9328745393998,39.5576153370059,36.0836445109725,73.3999999999999,70.466,3.60578678367913,2.51702085588852,1.95839204335453
"37","06/06/24 08:30",36.9221224411358,39.4758500478055,36.0811670882857,73.166,70.466,3.6038262897456,2.51678803827081,1.95842560933457
